LOG - Thu, 14 Mar 2019 12:28:39

PRIVAT:	Default name & id setup (ID=0, DEFAULT-NAME=Player #1)
PUBLIC:	Player position change (ID=0, NEW-X=365, NEW-Y=461, NEW-ROT=2.100645)
RECIVE:	Move request (X=357, Y=475, ROT=2.0235747986184327)
PUBLIC:	Player position change (ID=0, NEW-X=357, NEW-Y=475, NEW-ROT=2.023575)
RECIVE:	Move request (X=350, Y=492, ROT=1.916763599407693)
PUBLIC:	Player position change (ID=0, NEW-X=350, NEW-Y=492, NEW-ROT=1.916764)
RECIVE:	Move request (X=344, Y=508, ROT=1.8709674976250088)
PUBLIC:	Player position change (ID=0, NEW-X=344, NEW-Y=508, NEW-ROT=1.870967)
RECIVE:	Move request (X=340, Y=523, ROT=1.8217990134379314)
PUBLIC:	Player position change (ID=0, NEW-X=340, NEW-Y=523, NEW-ROT=1.821799)
RECIVE:	Move request (X=336, Y=536, ROT=1.7986533755119964)
PUBLIC:	Player position change (ID=0, NEW-X=336, NEW-Y=536, NEW-ROT=1.798653)
RECIVE:	Move request (X=333, Y=548, ROT=1.7590178320996674)
PUBLIC:	Player position change (ID=0, NEW-X=333, NEW-Y=548, NEW-ROT=1.759018)
RECIVE:	Move request (X=331, Y=561, ROT=1.7063240407803975)
PUBLIC:	Player position change (ID=0, NEW-X=331, NEW-Y=561, NEW-ROT=1.706324)
RECIVE:	Move request (X=330, Y=574, ROT=1.6148853841929685)
PUBLIC:	Player position change (ID=0, NEW-X=330, NEW-Y=574, NEW-ROT=1.614885)
RECIVE:	Move request (X=330, Y=587, ROT=1.512040504079174)
PUBLIC:	Player position change (ID=0, NEW-X=330, NEW-Y=587, NEW-ROT=1.512041)
RECIVE:	Move request (X=332, Y=601, ROT=1.4288992721907328)
PUBLIC:	Player position change (ID=0, NEW-X=332, NEW-Y=601, NEW-ROT=1.428899)
RECIVE:	Move request (X=335, Y=615, ROT=1.3625903772709091)
PUBLIC:	Player position change (ID=0, NEW-X=335, NEW-Y=615, NEW-ROT=1.362590)
RECIVE:	Move request (X=339, Y=629, ROT=1.2962210453552712)
PUBLIC:	Player position change (ID=0, NEW-X=339, NEW-Y=629, NEW-ROT=1.296221)
RECIVE:	Move request (X=345, Y=644, ROT=1.1902899496825317)
PUBLIC:	Player position change (ID=0, NEW-X=345, NEW-Y=644, NEW-ROT=1.190290)
RECIVE:	Move request (X=352, Y=657, ROT=1.089909046599561)
PUBLIC:	Player position change (ID=0, NEW-X=352, NEW-Y=657, NEW-ROT=1.089909)
RECIVE:	Move request (X=360, Y=669, ROT=0.9753864513161641)
PUBLIC:	Player position change (ID=0, NEW-X=360, NEW-Y=669, NEW-ROT=0.975386)
RECIVE:	Move request (X=370, Y=680, ROT=0.8320931674407788)
PUBLIC:	Player position change (ID=0, NEW-X=370, NEW-Y=680, NEW-ROT=0.832093)
RECIVE:	Move request (X=381, Y=690, ROT=0.711459125739508)
PUBLIC:	Player position change (ID=0, NEW-X=381, NEW-Y=690, NEW-ROT=0.711459)
RECIVE:	Move request (X=393, Y=698, ROT=0.6022873461349642)
PUBLIC:	Player position change (ID=0, NEW-X=393, NEW-Y=698, NEW-ROT=0.602287)
RECIVE:	Move request (X=407, Y=706, ROT=0.5012642648715824)
PUBLIC:	Player position change (ID=0, NEW-X=407, NEW-Y=706, NEW-ROT=0.501264)
RECIVE:	Move request (X=423, Y=713, ROT=0.4284862270457778)
PUBLIC:	Player position change (ID=0, NEW-X=423, NEW-Y=713, NEW-ROT=0.428486)
RECIVE:	Move request (X=440, Y=719, ROT=0.3764903344465229)
PUBLIC:	Player position change (ID=0, NEW-X=440, NEW-Y=719, NEW-ROT=0.376490)
RECIVE:	Move request (X=458, Y=725, ROT=0.34097895349634944)
PUBLIC:	Player position change (ID=0, NEW-X=458, NEW-Y=725, NEW-ROT=0.340979)
RECIVE:	Move request (X=478, Y=731, ROT=0.2984989315861793)
PUBLIC:	Player position change (ID=0, NEW-X=478, NEW-Y=731, NEW-ROT=0.298499)
RECIVE:	Move request (X=500, Y=737, ROT=0.25732371497108864)
PUBLIC:	Player position change (ID=0, NEW-X=500, NEW-Y=737, NEW-ROT=0.257324)
RECIVE:	Move request (X=528, Y=743, ROT=0.21109333322274654)
PUBLIC:	Player position change (ID=0, NEW-X=528, NEW-Y=743, NEW-ROT=0.211093)
RECIVE:	Move request (X=556, Y=747, ROT=0.16859693960942962)
PUBLIC:	Player position change (ID=0, NEW-X=556, NEW-Y=747, NEW-ROT=0.168597)
RECIVE:	Move request (X=584, Y=751, ROT=0.14581092894411435)
PUBLIC:	Player position change (ID=0, NEW-X=584, NEW-Y=751, NEW-ROT=0.145811)
RECIVE:	Move request (X=612, Y=754, ROT=0.1122028149972544)
PUBLIC:	Player position change (ID=0, NEW-X=612, NEW-Y=754, NEW-ROT=0.112203)
RECIVE:	Move request (X=639, Y=756, ROT=0.07339732590161165)
PUBLIC:	Player position change (ID=0, NEW-X=639, NEW-Y=756, NEW-ROT=0.073397)
RECIVE:	Move request (X=664, Y=756, ROT=0.023433209879467586)
PUBLIC:	Player position change (ID=0, NEW-X=664, NEW-Y=756, NEW-ROT=0.023433)
RECIVE:	Move request (X=687, Y=756, ROT=0)
PUBLIC:	Player position change (ID=0, NEW-X=687, NEW-Y=756, NEW-ROT=0.000000)
RECIVE:	Move request (X=708, Y=755, ROT=-0.03771795246686421)
PUBLIC:	Player position change (ID=0, NEW-X=708, NEW-Y=755, NEW-ROT=-0.037718)
RECIVE:	Move request (X=726, Y=753, ROT=-0.07512715591076208)
PUBLIC:	Player position change (ID=0, NEW-X=726, NEW-Y=753, NEW-ROT=-0.075127)
RECIVE:	Move request (X=742, Y=751, ROT=-0.1199039853650239)
PUBLIC:	Player position change (ID=0, NEW-X=742, NEW-Y=751, NEW-ROT=-0.119904)
RECIVE:	Move request (X=756, Y=748, ROT=-0.18697926991891112)
PUBLIC:	Player position change (ID=0, NEW-X=756, NEW-Y=748, NEW-ROT=-0.186979)
RECIVE:	Move request (X=768, Y=745, ROT=-0.23374318086890142)
PUBLIC:	Player position change (ID=0, NEW-X=768, NEW-Y=745, NEW-ROT=-0.233743)
RECIVE:	Move request (X=779, Y=741, ROT=-0.3268266529299407)
PUBLIC:	Player position change (ID=0, NEW-X=779, NEW-Y=741, NEW-ROT=-0.326827)
RECIVE:	Move request (X=790, Y=736, ROT=-0.41987995720555177)
PUBLIC:	Player position change (ID=0, NEW-X=790, NEW-Y=736, NEW-ROT=-0.419880)
RECIVE:	Move request (X=801, Y=729, ROT=-0.5354195419366258)
PUBLIC:	Player position change (ID=0, NEW-X=801, NEW-Y=729, NEW-ROT=-0.535420)
RECIVE:	Move request (X=812, Y=721, ROT=-0.5795639852933231)
PUBLIC:	Player position change (ID=0, NEW-X=812, NEW-Y=721, NEW-ROT=-0.579564)
RECIVE:	Move request (X=822, Y=713, ROT=-0.6375487981386927)
PUBLIC:	Player position change (ID=0, NEW-X=822, NEW-Y=713, NEW-ROT=-0.637549)
RECIVE:	Move request (X=831, Y=704, ROT=-0.7202730000630624)
PUBLIC:	Player position change (ID=0, NEW-X=831, NEW-Y=704, NEW-ROT=-0.720273)
RECIVE:	Move request (X=840, Y=694, ROT=-0.7853981633974483)
PUBLIC:	Player position change (ID=0, NEW-X=840, NEW-Y=694, NEW-ROT=-0.785398)
RECIVE:	Move request (X=848, Y=684, ROT=-0.8415189460986248)
PUBLIC:	Player position change (ID=0, NEW-X=848, NEW-Y=684, NEW-ROT=-0.841519)
RECIVE:	Move request (X=856, Y=673, ROT=-0.9151007005533605)
PUBLIC:	Player position change (ID=0, NEW-X=856, NEW-Y=673, NEW-ROT=-0.915101)
RECIVE:	Move request (X=865, Y=661, ROT=-0.9085808255387245)
PUBLIC:	Player position change (ID=0, NEW-X=865, NEW-Y=661, NEW-ROT=-0.908581)
RECIVE:	Move request (X=877, Y=645, ROT=-0.9193430993441112)
PUBLIC:	Player position change (ID=0, NEW-X=877, NEW-Y=645, NEW-ROT=-0.919343)
RECIVE:	Move request (X=898, Y=618, ROT=-0.8969661311319209)
PUBLIC:	Player position change (ID=0, NEW-X=898, NEW-Y=618, NEW-ROT=-0.896966)
RECIVE:	Move request (X=923, Y=587, ROT=-0.8850668158886104)
PUBLIC:	Player position change (ID=0, NEW-X=923, NEW-Y=587, NEW-ROT=-0.885067)
RECIVE:	Move request (X=949, Y=557, ROT=-0.8457897534655509)
PUBLIC:	Player position change (ID=0, NEW-X=949, NEW-Y=557, NEW-ROT=-0.845790)
RECIVE:	Move request (X=976, Y=527, ROT=-0.8239890333701)
PUBLIC:	Player position change (ID=0, NEW-X=976, NEW-Y=527, NEW-ROT=-0.823989)
RECIVE:	Move request (X=1003, Y=498, ROT=-0.8103513856175149)
PUBLIC:	Player position change (ID=0, NEW-X=1003, NEW-Y=498, NEW-ROT=-0.810351)
RECIVE:	Move request (X=1030, Y=469, ROT=-0.8083650279042247)
PUBLIC:	Player position change (ID=0, NEW-X=1030, NEW-Y=469, NEW-ROT=-0.808365)
RECIVE:	Move request (X=1057, Y=439, ROT=-0.8114259749754252)
PUBLIC:	Player position change (ID=0, NEW-X=1057, NEW-Y=439, NEW-ROT=-0.811426)
RECIVE:	Move request (X=1084, Y=409, ROT=-0.815595658395458)
PUBLIC:	Player position change (ID=0, NEW-X=1084, NEW-Y=409, NEW-ROT=-0.815596)
RECIVE:	Move request (X=1111, Y=379, ROT=-0.8172132203170627)
PUBLIC:	Player position change (ID=0, NEW-X=1111, NEW-Y=379, NEW-ROT=-0.817213)
RECIVE:	Move request (X=1138, Y=349, ROT=-0.8262280348803597)
PUBLIC:	Player position change (ID=0, NEW-X=1138, NEW-Y=349, NEW-ROT=-0.826228)
RECIVE:	Move request (X=1164, Y=319, ROT=-0.8411025570487386)
PUBLIC:	Player position change (ID=0, NEW-X=1164, NEW-Y=319, NEW-ROT=-0.841103)
RECIVE:	Move request (X=1190, Y=288, ROT=-0.854594442016031)
PUBLIC:	Player position change (ID=0, NEW-X=1190, NEW-Y=288, NEW-ROT=-0.854594)
RECIVE:	Move request (X=1215, Y=257, ROT=-0.8710251856203957)
PUBLIC:	Player position change (ID=0, NEW-X=1215, NEW-Y=257, NEW-ROT=-0.871025)
RECIVE:	Move request (X=1240, Y=226, ROT=-0.8803498697402046)
PUBLIC:	Player position change (ID=0, NEW-X=1240, NEW-Y=226, NEW-ROT=-0.880350)
RECIVE:	Move request (X=1265, Y=195, ROT=-0.8823901627519896)
PUBLIC:	Player position change (ID=0, NEW-X=1265, NEW-Y=195, NEW-ROT=-0.882390)
RECIVE:	Move request (X=1290, Y=164, ROT=-0.8863199480647421)
PUBLIC:	Player position change (ID=0, NEW-X=1290, NEW-Y=164, NEW-ROT=-0.886320)
RECIVE:	Move request (X=1313, Y=135, ROT=-0.8850668158886104)
PUBLIC:	Player position change (ID=0, NEW-X=1313, NEW-Y=135, NEW-ROT=-0.885067)
RECIVE:	Move request (X=1331, Y=112, ROT=-0.8812573105074615)
PUBLIC:	Player position change (ID=0, NEW-X=1331, NEW-Y=112, NEW-ROT=-0.881257)
RECIVE:	Move request (X=1346, Y=93, ROT=-0.874978137411085)
PUBLIC:	Player position change (ID=0, NEW-X=1346, NEW-Y=93, NEW-ROT=-0.874978)
RECIVE:	Move request (X=1358, Y=78, ROT=-0.8679171178304299)
PUBLIC:	Player position change (ID=0, NEW-X=1358, NEW-Y=78, NEW-ROT=-0.867917)
RECIVE:	Move request (X=1367, Y=66, ROT=-0.8607270542257884)
PUBLIC:	Player position change (ID=0, NEW-X=1367, NEW-Y=66, NEW-ROT=-0.860727)
RECIVE:	Move request (X=1375, Y=60, ROT=-0.844153986113171)
PUBLIC:	Player position change (ID=0, NEW-X=1375, NEW-Y=60, NEW-ROT=-0.844154)
RECIVE:	Move request (X=1362, Y=78, ROT=2.1637988886764226)
PUBLIC:	Player position change (ID=0, NEW-X=1362, NEW-Y=78, NEW-ROT=2.163799)
RECIVE:	Move request (X=1335, Y=108, ROT=2.285659524287767)
PUBLIC:	Player position change (ID=0, NEW-X=1335, NEW-Y=108, NEW-ROT=2.285660)
RECIVE:	Move request (X=1306, Y=135, ROT=2.374485133149165)
PUBLIC:	Player position change (ID=0, NEW-X=1306, NEW-Y=135, NEW-ROT=2.374485)
RECIVE:	Move request (X=1275, Y=160, ROT=2.444346770254356)
PUBLIC:	Player position change (ID=0, NEW-X=1275, NEW-Y=160, NEW-ROT=2.444347)
RECIVE:	Move request (X=1243, Y=184, ROT=2.475681149597837)
PUBLIC:	Player position change (ID=0, NEW-X=1243, NEW-Y=184, NEW-ROT=2.475681)
RECIVE:	Move request (X=1210, Y=207, ROT=2.5019971116256388)
PUBLIC:	Player position change (ID=0, NEW-X=1210, NEW-Y=207, NEW-ROT=2.501997)
RECIVE:	Move request (X=1176, Y=229, ROT=2.5443219265448507)
PUBLIC:	Player position change (ID=0, NEW-X=1176, NEW-Y=229, NEW-ROT=2.544322)
RECIVE:	Move request (X=1142, Y=251, ROT=2.5565393140039214)
PUBLIC:	Player position change (ID=0, NEW-X=1142, NEW-Y=251, NEW-ROT=2.556539)
RECIVE:	Move request (X=1108, Y=273, ROT=2.556221622914876)
PUBLIC:	Player position change (ID=0, NEW-X=1108, NEW-Y=273, NEW-ROT=2.556222)
RECIVE:	Move request (X=1074, Y=295, ROT=2.5558845808506243)
PUBLIC:	Player position change (ID=0, NEW-X=1074, NEW-Y=295, NEW-ROT=2.555885)
RECIVE:	Move request (X=1040, Y=317, ROT=2.5555263643176254)
PUBLIC:	Player position change (ID=0, NEW-X=1040, NEW-Y=317, NEW-ROT=2.555526)
RECIVE:	Move request (X=1006, Y=339, ROT=2.555144913293877)
PUBLIC:	Player position change (ID=0, NEW-X=1006, NEW-Y=339, NEW-ROT=2.555145)
RECIVE:	Move request (X=972, Y=361, ROT=2.554737891595049)
PUBLIC:	Player position change (ID=0, NEW-X=972, NEW-Y=361, NEW-ROT=2.554738)
RECIVE:	Move request (X=938, Y=383, ROT=2.5543026389952463)
PUBLIC:	Player position change (ID=0, NEW-X=938, NEW-Y=383, NEW-ROT=2.554303)
RECIVE:	Move request (X=904, Y=405, ROT=2.5538361130293854)
PUBLIC:	Player position change (ID=0, NEW-X=904, NEW-Y=405, NEW-ROT=2.553836)
RECIVE:	Move request (X=870, Y=427, ROT=2.55333481778641)
PUBLIC:	Player position change (ID=0, NEW-X=870, NEW-Y=427, NEW-ROT=2.553335)
RECIVE:	Move request (X=836, Y=449, ROT=2.5527947161696263)
PUBLIC:	Player position change (ID=0, NEW-X=836, NEW-Y=449, NEW-ROT=2.552795)
RECIVE:	Move request (X=802, Y=471, ROT=2.552211120965854)
PUBLIC:	Player position change (ID=0, NEW-X=802, NEW-Y=471, NEW-ROT=2.552211)
RECIVE:	Move request (X=768, Y=493, ROT=2.551578558502254)
PUBLIC:	Player position change (ID=0, NEW-X=768, NEW-Y=493, NEW-ROT=2.551579)
RECIVE:	Move request (X=734, Y=515, ROT=2.550890596491284)
PUBLIC:	Player position change (ID=0, NEW-X=734, NEW-Y=515, NEW-ROT=2.550891)
RECIVE:	Move request (X=700, Y=537, ROT=2.55013962458843)
PUBLIC:	Player position change (ID=0, NEW-X=700, NEW-Y=537, NEW-ROT=2.550140)
RECIVE:	Move request (X=666, Y=559, ROT=2.5493165717838764)
PUBLIC:	Player position change (ID=0, NEW-X=666, NEW-Y=559, NEW-ROT=2.549317)
RECIVE:	Move request (X=632, Y=581, ROT=2.5484105383491826)
PUBLIC:	Player position change (ID=0, NEW-X=632, NEW-Y=581, NEW-ROT=2.548411)
RECIVE:	Move request (X=598, Y=603, ROT=2.547408310604407)
PUBLIC:	Player position change (ID=0, NEW-X=598, NEW-Y=603, NEW-ROT=2.547408)
RECIVE:	Move request (X=564, Y=625, ROT=2.546293712548353)
PUBLIC:	Player position change (ID=0, NEW-X=564, NEW-Y=625, NEW-ROT=2.546294)
RECIVE:	Move request (X=530, Y=647, ROT=2.545046726576447)
PUBLIC:	Player position change (ID=0, NEW-X=530, NEW-Y=647, NEW-ROT=2.545047)
RECIVE:	Move request (X=496, Y=669, ROT=2.543642281306842)
PUBLIC:	Player position change (ID=0, NEW-X=496, NEW-Y=669, NEW-ROT=2.543642)
RECIVE:	Move request (X=462, Y=691, ROT=2.542048549609074)
PUBLIC:	Player position change (ID=0, NEW-X=462, NEW-Y=691, NEW-ROT=2.542049)
RECIVE:	Move request (X=429, Y=713, ROT=2.5402245093284903)
PUBLIC:	Player position change (ID=0, NEW-X=429, NEW-Y=713, NEW-ROT=2.540225)
RECIVE:	Move request (X=396, Y=735, ROT=2.539206385702258)
PUBLIC:	Player position change (ID=0, NEW-X=396, NEW-Y=735, NEW-ROT=2.539206)
RECIVE:	Move request (X=363, Y=757, ROT=2.5380203740148692)
PUBLIC:	Player position change (ID=0, NEW-X=363, NEW-Y=757, NEW-ROT=2.538020)
RECIVE:	Move request (X=330, Y=779, ROT=2.536621220073943)
PUBLIC:	Player position change (ID=0, NEW-X=330, NEW-Y=779, NEW-ROT=2.536621)
RECIVE:	Move request (X=297, Y=801, ROT=2.5349458017994317)
PUBLIC:	Player position change (ID=0, NEW-X=297, NEW-Y=801, NEW-ROT=2.534946)
RECIVE:	Move request (X=264, Y=823, ROT=2.5329033462623816)
PUBLIC:	Player position change (ID=0, NEW-X=264, NEW-Y=823, NEW-ROT=2.532903)
RECIVE:	Move request (X=231, Y=845, ROT=2.530358430032152)
PUBLIC:	Player position change (ID=0, NEW-X=231, NEW-Y=845, NEW-ROT=2.530358)
RECIVE:	Move request (X=198, Y=868, ROT=2.525054490773241)
PUBLIC:	Player position change (ID=0, NEW-X=198, NEW-Y=868, NEW-ROT=2.525054)
RECIVE:	Move request (X=166, Y=892, ROT=2.4905159321453136)
PUBLIC:	Player position change (ID=0, NEW-X=166, NEW-Y=892, NEW-ROT=2.490516)
RECIVE:	Move request (X=160, Y=903, ROT=2.0414368288010363)
PUBLIC:	Player position change (ID=0, NEW-X=160, NEW-Y=903, NEW-ROT=2.041437)
RECIVE:	Move request (X=186, Y=898, ROT=-0.1811966823292414)
PUBLIC:	Player position change (ID=0, NEW-X=186, NEW-Y=898, NEW-ROT=-0.181197)
RECIVE:	Move request (X=223, Y=884, ROT=-0.33246095301765)
PUBLIC:	Player position change (ID=0, NEW-X=223, NEW-Y=884, NEW-ROT=-0.332461)
RECIVE:	Move request (X=260, Y=869, ROT=-0.36815684150608474)
PUBLIC:	Player position change (ID=0, NEW-X=260, NEW-Y=869, NEW-ROT=-0.368157)
RECIVE:	Move request (X=296, Y=853, ROT=-0.39610532330193815)
PUBLIC:	Player position change (ID=0, NEW-X=296, NEW-Y=853, NEW-ROT=-0.396105)
RECIVE:	Move request (X=332, Y=837, ROT=-0.40031331033230605)
PUBLIC:	Player position change (ID=0, NEW-X=332, NEW-Y=837, NEW-ROT=-0.400313)
RECIVE:	Move request (X=369, Y=822, ROT=-0.35769012875776945)
PUBLIC:	Player position change (ID=0, NEW-X=369, NEW-Y=822, NEW-ROT=-0.357690)
RECIVE:	Move request (X=406, Y=808, ROT=-0.35688872210741435)
PUBLIC:	Player position change (ID=0, NEW-X=406, NEW-Y=808, NEW-ROT=-0.356889)
RECIVE:	Move request (X=443, Y=794, ROT=-0.35674459834240324)
PUBLIC:	Player position change (ID=0, NEW-X=443, NEW-Y=794, NEW-ROT=-0.356745)
RECIVE:	Move request (X=480, Y=780, ROT=-0.3565916288674293)
PUBLIC:	Player position change (ID=0, NEW-X=480, NEW-Y=780, NEW-ROT=-0.356592)
RECIVE:	Move request (X=517, Y=766, ROT=-0.35642897353923214)
PUBLIC:	Player position change (ID=0, NEW-X=517, NEW-Y=766, NEW-ROT=-0.356429)
RECIVE:	Move request (X=554, Y=752, ROT=-0.35625568234429184)
PUBLIC:	Player position change (ID=0, NEW-X=554, NEW-Y=752, NEW-ROT=-0.356256)
RECIVE:	Move request (X=591, Y=738, ROT=-0.3557730773304931)
PUBLIC:	Player position change (ID=0, NEW-X=591, NEW-Y=738, NEW-ROT=-0.355773)
RECIVE:	Move request (X=628, Y=724, ROT=-0.3555648901460645)
PUBLIC:	Player position change (ID=0, NEW-X=628, NEW-Y=724, NEW-ROT=-0.355565)
RECIVE:	Move request (X=665, Y=710, ROT=-0.35534162241616835)
PUBLIC:	Player position change (ID=0, NEW-X=665, NEW-Y=710, NEW-ROT=-0.355342)
RECIVE:	Move request (X=702, Y=696, ROT=-0.3551015739936182)
PUBLIC:	Player position change (ID=0, NEW-X=702, NEW-Y=696, NEW-ROT=-0.355102)
RECIVE:	Move request (X=739, Y=682, ROT=-0.35484277919554535)
PUBLIC:	Player position change (ID=0, NEW-X=739, NEW-Y=682, NEW-ROT=-0.354843)
RECIVE:	Move request (X=776, Y=668, ROT=-0.3545629528574014)
PUBLIC:	Player position change (ID=0, NEW-X=776, NEW-Y=668, NEW-ROT=-0.354563)
RECIVE:	Move request (X=813, Y=654, ROT=-0.3542594226786661)
PUBLIC:	Player position change (ID=0, NEW-X=813, NEW-Y=654, NEW-ROT=-0.354259)
RECIVE:	Move request (X=850, Y=640, ROT=-0.3539290436166097)
PUBLIC:	Player position change (ID=0, NEW-X=850, NEW-Y=640, NEW-ROT=-0.353929)
RECIVE:	Move request (X=887, Y=626, ROT=-0.3535680885136545)
PUBLIC:	Player position change (ID=0, NEW-X=887, NEW-Y=626, NEW-ROT=-0.353568)
RECIVE:	Move request (X=922, Y=607, ROT=-0.49287904637302643)
PUBLIC:	Player position change (ID=0, NEW-X=922, NEW-Y=607, NEW-ROT=-0.492879)
RECIVE:	Move request (X=957, Y=588, ROT=-0.4926339359701146)
PUBLIC:	Player position change (ID=0, NEW-X=957, NEW-Y=588, NEW-ROT=-0.492634)
RECIVE:	Move request (X=992, Y=569, ROT=-0.49236034256893285)
PUBLIC:	Player position change (ID=0, NEW-X=992, NEW-Y=569, NEW-ROT=-0.492360)
RECIVE:	Move request (X=1027, Y=550, ROT=-0.4920529951675604)
PUBLIC:	Player position change (ID=0, NEW-X=1027, NEW-Y=550, NEW-ROT=-0.492053)
RECIVE:	Move request (X=1062, Y=531, ROT=-0.4917052366896237)
PUBLIC:	Player position change (ID=0, NEW-X=1062, NEW-Y=531, NEW-ROT=-0.491705)
RECIVE:	Move request (X=1097, Y=512, ROT=-0.49130853632423394)
PUBLIC:	Player position change (ID=0, NEW-X=1097, NEW-Y=512, NEW-ROT=-0.491309)
RECIVE:	Move request (X=1132, Y=493, ROT=-0.4908517803980192)
PUBLIC:	Player position change (ID=0, NEW-X=1132, NEW-Y=493, NEW-ROT=-0.490852)
RECIVE:	Move request (X=1167, Y=474, ROT=-0.494221952526135)
PUBLIC:	Player position change (ID=0, NEW-X=1167, NEW-Y=474, NEW-ROT=-0.494222)
RECIVE:	Move request (X=1201, Y=454, ROT=-0.5055453660805015)
PUBLIC:	Player position change (ID=0, NEW-X=1201, NEW-Y=454, NEW-ROT=-0.505545)
RECIVE:	Move request (X=1235, Y=433, ROT=-0.5466918194478132)
PUBLIC:	Player position change (ID=0, NEW-X=1235, NEW-Y=433, NEW-ROT=-0.546692)
RECIVE:	Move request (X=1267, Y=409, ROT=-0.6297175206089927)
PUBLIC:	Player position change (ID=0, NEW-X=1267, NEW-Y=409, NEW-ROT=-0.629718)
RECIVE:	Move request (X=1296, Y=381, ROT=-0.7443253848069942)
PUBLIC:	Player position change (ID=0, NEW-X=1296, NEW-Y=381, NEW-ROT=-0.744325)
RECIVE:	Move request (X=1321, Y=350, ROT=-0.8735086616025588)
PUBLIC:	Player position change (ID=0, NEW-X=1321, NEW-Y=350, NEW-ROT=-0.873509)
RECIVE:	Move request (X=1336, Y=324, ROT=-1.0360521344902798)
PUBLIC:	Player position change (ID=0, NEW-X=1336, NEW-Y=324, NEW-ROT=-1.036052)
RECIVE:	Move request (X=1343, Y=301, ROT=-1.2653486757169166)
PUBLIC:	Player position change (ID=0, NEW-X=1343, NEW-Y=301, NEW-ROT=-1.265349)
RECIVE:	Move request (X=1342, Y=281, ROT=-1.602036160225165)
PUBLIC:	Player position change (ID=0, NEW-X=1342, NEW-Y=281, NEW-ROT=-1.602036)
RECIVE:	Move request (X=1331, Y=263, ROT=-2.1128852745963345)
PUBLIC:	Player position change (ID=0, NEW-X=1331, NEW-Y=263, NEW-ROT=-2.112885)
